Name,Rarity,Color Identity,Mana Cost,Type Line,Card Text
Absolute Virtue,Mythic,UW,{6}{W}{U},Legendary Creature — Avatar Warrior,"This spell can't be countered. Flying You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)"
Adelbert Steiner,Uncommon,W,{1}{W},Legendary Creature — Human Knight,Lifelink Adelbert Steiner gets +1/+1 for each Equipment you control.
Adventurer's Airship,Common,Colorless,{3},Artifact — Vehicle,"Flying Whenever this Vehicle attacks, draw a card, then discard a card. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Adventurer's Inn,Common,Colorless,,Land — Town,"When this land enters, you gain 2 life. {T}: Add {C}."
Aerith Gainsborough,Rare,W,{2}{W},Legendary Creature — Human Cleric,"Lifelink Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough. When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough."
Aerith Rescue Mission,Common,W,{3}{W},Sorcery,"Choose one — • Take the Elevator — Create three 1/1 colorless Hero creature tokens. • Take 59 Flights of Stairs — Tap up to three target creatures. Put a stun counter on one of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Aettir and Priwen,Mythic,Colorless,{6},Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total. Equip {5}"
Ahriman,Common,B,{2}{B},Creature — Eye Horror,"Flying, deathtouch {3}, Sacrifice another creature or artifact: Draw a card."
Airship Crash,Common,G,{2}{G},Instant,"Destroy target artifact, enchantment, or creature with flying. Cycling {2} ({2}, Discard this card: Draw a card.)"
Al Bhed Salvagers,Uncommon,B,{2}{B},Creature — Human Artificer Warrior,"Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life."
Ambrosia Whiteheart,Uncommon,W,{1}{W},Legendary Creature — Bird,"Flash When Ambrosia Whiteheart enters, you may return another permanent you control to its owner's hand. Landfall — Whenever a land you control enters, Ambrosia Whiteheart gets +1/+0 until end of turn."
Ancient Adamantoise,Mythic,G,{5}{G}{G}{G},Creature — Turtle,"Vigilance, ward {3} Damage isn't removed from this creature during cleanup steps. All damage that would be dealt to you and other permanents you control is dealt to this creature instead. When this creature dies, exile it and create ten tapped Treasure tokens."
"Ardyn, the Usurper",Rare,B,{5}{B}{B}{B},Legendary Creature — Elder Human Noble,"Demons you control have menace, lifelink, and haste. Starscourge — At the beginning of combat on your turn, exile up to one target creature card from a graveyard. If you exiled a card this way, create a token that's a copy of that card, except it's a 5/5 black Demon."
A Realm Reborn,Rare,G,{4}{G}{G},Enchantment,"Other permanents you control have ""{T}: Add one mana of any color."""
"Ashe, Princess of Dalmasca",Uncommon,W,{2}{W},Legendary Creature — Human Rebel Noble,"Whenever Ashe attacks, look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Astrologian's Planisphere,Rare,U,{1}{U},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature is a Wizard in addition to its other types and has ""Whenever you cast a noncreature spell and whenever you draw your third card each turn, put a +1/+1 counter on this creature."" Diana — Equip {2}"
Auron's Inspiration,Uncommon,W,{2}{W},Instant,Attacking creatures get +2/+0 until end of turn. Flashback {2}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
A-Vivi Ornitier,Mythic,RU,{1}{U}{R},Legendary Creature — Wizard,"{T}: Add X mana in any combination of {U} and/or {R}, where X is Vivi Ornitier's power. Whenever you cast a noncreature spell, put a +1/+1 counter on Vivi Ornitier and it deals 1 damage to each opponent."
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",Rare,GU, // ,Land — Town // Legendary Artifact — Vehicle,"This land enters tapped. {T}: Add {G} or {U}. {5}{G}{U}, {T}: Transform this land. This ability costs {1} less to activate for each other Town you control. // Flying Whenever Balamb Garden attacks, draw a card. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Balamb T-Rexaur,Common,G,{4}{G}{G},Creature — Dinosaur,"Trample When this creature enters, you gain 3 life. Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)"
Balthier and Fran,Rare,GR,{1}{R}{G},Legendary Creature — Human Rabbit,"Reach Vehicles you control get +1/+1 and have vigilance and reach. Whenever a Vehicle crewed by Balthier and Fran this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an additional combat phase."
Bard's Bow,Common,G,{2}{G},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2, has reach, and is a Bard in addition to its other types. Perseus's Bow — Equip {6} ({6}: Attach to target creature you control. Equip only as a sorcery.)"
"Baron, Airship Kingdom",Common,RU,,Land — Town,This land enters tapped. {T}: Add {U} or {R}.
Barret Wallace,Uncommon,R,{3}{R},Legendary Creature — Human Rebel,"Reach Whenever Barret Wallace attacks, it deals damage equal to the number of equipped creatures you control to defending player."
Bartz and Boko,Rare,G,{3}{G}{G},Legendary Creature — Human Bird,"Affinity for Birds (This spell costs {1} less to cast for each Bird you control.) When Bartz and Boko enters, each other Bird you control deals damage equal to its power to target creature an opponent controls."
Battle Menu,Uncommon,W,{1}{W},Instant,Choose one — • Attack — Create a 2/2 white Knight creature token. • Ability — Target creature gets +0/+4 until end of turn. • Magic — Destroy target creature with power 4 or greater. • Item — You gain 4 life.
"Beatrix, Loyal General",Rare,W,{4}{W}{W},Legendary Creature — Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.) At the beginning of combat on your turn, you may attach any number of Equipment you control to target creature you control."
Black Mage's Rod,Common,B,{1}{B},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0, has ""Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent,"" and is a Wizard in addition to its other types. Equip {3}"
Black Waltz No. 3,Uncommon,BR,{2}{B}{R},Legendary Creature — Wizard,"Flying, deathtouch Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent."
Blazing Bomb,Common,R,{R},Creature — Elemental,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature. Blow Up — {T}, Sacrifice this creature: It deals damage equal to its power to target creature. Activate only as a sorcery."
