Name,Rarity,Color Identity
Abzan Devotee,Common,BGW
Abzan Monument,Uncommon,BGW
Adorned Crocodile,Common,B
Aegis Sculptor,Uncommon,U
Agent of Kotis,Common,U
Aggressive Negotiations,Common,B
Ainok Wayfarer,Common,G
Alchemist's Assistant,Uncommon,B
Alesha's Legacy,Common,B
All-Out Assault,Mythic,BRW
Ambling Stormshell,Rare,U
"Anafenza, Unyielding Lineage",Rare,W
Arashin Sunshield,Common,W
Armament Dragon,Uncommon,BGW
Attuned Hunter,Uncommon,G
Auroral Procession,Uncommon,GU
Avenger of the Fallen,Rare,B
Awaken the Honored Dead,Rare,BGU
Barrensteppe Siege,Rare,BW
Bearer of Glory,Common,W
"Betor, Kin to All",Mythic,BGW
Bewildering Blizzard,Uncommon,U
Bloodfell Caves,Common,BR
Bloomvine Regent // Claim Territory,Rare,G
Blossoming Sands,Common,GW
Bone-Cairn Butcher,Uncommon,BRW
Boulderborn Dragon,Common,Colorless
Breaching Dragonstorm,Uncommon,R
Call the Spirit Dragons,Mythic,BGRUW
Caustic Exhale,Common,B
Champion of Dusan,Common,G
Channeled Dragonfire,Uncommon,R
Clarion Conqueror,Rare,W
Constrictor Sage,Uncommon,U
Coordinated Maneuver,Common,W
Cori Mountain Monastery,Rare,R
Cori Mountain Stalwart,Uncommon,RW
Cori-Steel Cutter,Rare,R
Corroding Dragonstorm,Uncommon,B
Craterhoof Behemoth,Mythic,G
Cruel Truths,Common,B
Dalkovan Encampment,Rare,W
Dalkovan Packbeasts,Uncommon,W
Death Begets Life,Mythic,BGU
Defibrillating Current,Uncommon,BRW
Delta Bloodflies,Common,B
Descendant of Storms,Uncommon,W
Desperate Measures,Uncommon,B
Devoted Duelist,Common,R
Dirgur Island Dragon // Skimming Strike,Common,U
Dismal Backwater,Common,BU
Dispelling Exhale,Common,U
Disruptive Stormbrood // Petty Revenge,Uncommon,BG
Dracogenesis,Mythic,R
Dragonback Assault,Mythic,GRU
Dragonback Lancer,Common,W
Dragonbroods' Relic,Uncommon,BGRUW
Dragonclaw Strike,Uncommon,GRU
Dragonfire Blade,Rare,Colorless
Dragonologist,Rare,U
Dragon Sniper,Uncommon,G
Dragon's Prey,Common,B
Dragonstorm Forecaster,Uncommon,U
Dragonstorm Globe,Common,Colorless
Dusyut Earthcarver,Common,G
Duty Beyond Death,Uncommon,W
Effortless Master,Uncommon,RU
"Elspeth, Storm Slayer",Mythic,W
Embermouth Sentinel,Common,Colorless
Encroaching Dragonstorm,Uncommon,G
Equilibrium Adept,Uncommon,R
Eshki Dragonclaw,Rare,GRU
Essence Anchor,Uncommon,U
Evolving Wilds,Common,Colorless
Fangkeeper's Familiar,Rare,BGU
"Felothar, Dawn of the Abzan",Rare,BGW
Feral Deathgorger // Dusk Sight,Common,B
Fire-Rim Form,Common,R
Flamehold Grappler,Rare,RUW
Fleeting Effigy,Uncommon,R
Focus the Mind,Common,U
Formation Breaker,Uncommon,G
Fortress Kin-Guard,Common,W
Fresh Start,Uncommon,U
Frontier Bivouac,Uncommon,GRU
Frontline Rush,Uncommon,RW
Frostcliff Siege,Rare,RU
Furious Forebear,Uncommon,W
Glacial Dragonhunt,Uncommon,RU
Glacierwood Siege,Rare,GU
Great Arashin City,Rare,B
Gurmag Nightwatch,Common,BGU
Gurmag Rakshasa,Uncommon,B
Hardened Tactician,Uncommon,BW
Herd Heirloom,Rare,G
Heritage Reclamation,Common,G
Highspire Bell-Ringer,Common,U
Hollowmurk Siege,Rare,BG
Host of the Hereafter,Uncommon,BG
Humbling Elder,Common,U
Hundred-Battle Veteran,Uncommon,B
Iceridge Serpent,Common,U
Inevitable Defeat,Rare,BRW
Inspirited Vanguard,Uncommon,G
Iridescent Tiger,Uncommon,BGRUW
Jade-Cast Sentinel,Common,Colorless
Jeskai Brushmaster,Uncommon,RUW
Jeskai Devotee,Common,RUW
Jeskai Monument,Uncommon,RUW
Jeskai Revelation,Mythic,RUW
Jeskai Shrinekeeper,Uncommon,RUW
Jungle Hollow,Common,BG
Karakyk Guardian,Uncommon,GRU
Kheru Goldkeeper,Uncommon,BGU
Kin-Tree Nurturer,Common,B
Kin-Tree Severance,Uncommon,BGW
Kishla Skimmer,Uncommon,GU
Kishla Trawlers,Uncommon,U
Kishla Village,Rare,G
Knockout Maneuver,Uncommon,G
"Kotis, the Fangkeeper",Rare,BGU
Krotiq Nestguard,Common,G
Krumar Initiate,Uncommon,B
Lasyd Prowler,Rare,G
Lie in Wait,Uncommon,BGU
Lightfoot Technique,Common,W
Lotuslight Dancers,Rare,BGU
Loxodon Battle Priest,Uncommon,W
Maelstrom of the Spirit Dragon,Rare,Colorless
Magmatic Hellkite,Rare,R
Mammoth Bellow,Uncommon,GRU
Marang River Regent // Coil and Catch,Rare,U
Mardu Devotee,Common,BRW
Mardu Monument,Uncommon,BRW
Mardu Siegebreaker,Rare,BRW
Marshal of the Lost,Uncommon,BW
Meticulous Artisan,Common,R
Mistrise Village,Rare,U
Molten Exhale,Common,R
Monastery Messenger,Common,RUW
Mox Jasper,Mythic,Colorless
Mystic Monastery,Uncommon,RUW
Naga Fleshcrafter,Rare,U
"Narset, Jeskai Waymaster",Rare,RUW
Narset's Rebuke,Common,RUW
Nature's Rhythm,Rare,G
"Neriv, Heart of the Storm",Mythic,BRW
New Way Forward,Rare,RUW
Nightblade Brigade,Common,B
Nomad Outpost,Uncommon,BRW
Opulent Palace,Uncommon,BGU
Osseous Exhale,Common,W
Overwhelming Surge,Uncommon,R
Perennation,Mythic,BGW
Piercing Exhale,Common,G
Poised Practitioner,Common,W
Purging Stormbrood // Absorb Essence,Uncommon,BW
Qarsi Revenant,Rare,B
Rainveil Rejuvenator,Uncommon,G
Rakshasa's Bargain,Uncommon,BGU
Rally the Monastery,Uncommon,W
Rebellious Strike,Common,W
Rediscover the Way,Rare,RUW
Reigning Victor,Common,BRW
Reputable Merchant,Common,BGW
Rescue Leopard,Common,R
Reverberating Summons,Uncommon,R
Revival of the Ancestors,Rare,BGW
Riling Dawnbreaker // Signaling Roar,Common,W
Ringing Strike Mastery,Common,U
Rite of Renewal,Uncommon,G
Riverwalk Technique,Common,U
Riverwheel Sweep,Uncommon,RUW
Roamer's Routine,Common,G
Roar of Endless Song,Rare,GRU
Roiling Dragonstorm,Uncommon,U
Rot-Curse Rakshasa,Mythic,B
Rugged Highlands,Common,GR
Runescale Stormbrood // Chilling Screech,Uncommon,RU
Sage of the Fang,Uncommon,G
Sage of the Skies,Rare,W
Sagu Pummeler,Common,G
Sagu Wildling // Roost Seek,Common,G
Salt Road Packbeast,Common,W
Salt Road Skirmish,Uncommon,B
Sandskitter Outrider,Common,B
Sandsteppe Citadel,Uncommon,BGW
"Sarkhan, Dragon Ascendant",Rare,R
Sarkhan's Resolve,Common,G
Scavenger Regent // Exude Toxin,Rare,B
Scoured Barrens,Common,BW
Seize Opportunity,Common,R
Severance Priest,Rare,BGW
"Shiko, Paragon of the Way",Mythic,RUW
Shock Brigade,Common,R
Shocking Sharpshooter,Uncommon,R
Sibsig Appraiser,Common,U
"Sidisi, Regent of the Mire",Rare,B
Sinkhole Surveyor,Rare,B
Skirmish Rhino,Uncommon,BGW
Smile at Death,Mythic,W
Snakeskin Veil,Common,G
Snowmelt Stag,Common,U
Songcrafter Mage,Rare,GRU
Sonic Shrieker,Uncommon,BRW
Spectral Denial,Uncommon,U
Stadium Headliner,Rare,R
Stalwart Successor,Uncommon,BG
Starry-Eyed Skyrider,Uncommon,W
Static Snare,Uncommon,W
Stillness in Motion,Rare,U
Stormbeacon Blade,Uncommon,W
Stormplain Detainment,Common,W
Stormscale Scion,Mythic,R
Stormshriek Feral // Flush Out,Common,R
